SingleThreaded_cpu,SingleThreaded_wall,SingleThreadedSimd_cpu,SingleThreadedSimd_wall,OpenMP_cpu,OpenMP_wall,OpenMPSimd_cpu,OpenMPSimd_wall,Cuda_cpu,Cuda_wall,CudaSimd_cpu,CudaSimd_wall,OpenCL_cpu,OpenCL_wall
3.3423e+06,3.34231e+06,858307,858311,8.60277e+06,1.07701e+06,1.45981e+06,182829,75968,76047,79791,79894,88031,88015
3.34147e+06,3.34149e+06,858503,858503,7.60644e+06,951731,1.46371e+06,183024,75956,76013,79667,79742,88095,88078
3.34172e+06,3.34172e+06,858214,858222,7.63558e+06,955209,1.45836e+06,183182,76150,76224,79518,79604,87874,87863
3.34171e+06,3.34174e+06,858458,858458,7.64603e+06,956788,1.46368e+06,183084,76075,76164,79550,79619,87990,87973
3.34274e+06,3.34274e+06,858641,858640,7.64205e+06,956108,1.46533e+06,183268,76096,76194,79427,79501,87892,87879
3.34205e+06,3.34207e+06,858475,858474,7.65144e+06,957012,1.46505e+06,183138,76047,76122,79446,79523,87979,87967
3.34199e+06,3.342e+06,858225,858226,7.64183e+06,956621,1.4664e+06,183410,75966,76041,79298,79383,88032,88021
3.34244e+06,3.34246e+06,858386,858387,7.65863e+06,958592,1.45767e+06,182765,76081,76160,79507,79574,87962,87948
3.34222e+06,3.34222e+06,858177,858178,7.65502e+06,957396,1.46647e+06,183446,75925,76001,79569,79645,87889,87875
3.34143e+06,3.34145e+06,858253,858253,7.64455e+06,956553,1.46584e+06,183353,76085,76163,80453,80521,87886,87868
3.34233e+06,3.34233e+06,858346,858346,7.65055e+06,957341,1.46444e+06,183155,76050,76126,79422,79499,87811,87804
3.34147e+06,3.34151e+06,858333,858335,7.75144e+06,969562,1.46565e+06,183202,76069,76149,79353,79441,87928,87912
3.34163e+06,3.34165e+06,858174,858175,7.75943e+06,971161,1.46072e+06,183169,76012,76109,79542,79618,88072,88055
3.34229e+06,3.34231e+06,858266,858268,7.78032e+06,975717,1.46572e+06,183310,75994,76072,79505,79580,87957,87933
3.34211e+06,3.3421e+06,858466,858470,8.15465e+06,1.02036e+06,1.46731e+06,183625,76165,76240,79485,79560,88013,87997
3.34207e+06,3.34208e+06,858680,858681,8.13263e+06,1.01741e+06,1.46519e+06,183238,76053,76122,79466,79544,89110,89092
3.34212e+06,3.34212e+06,859013,859017,7.61706e+06,953586,1.46753e+06,183596,76197,76296,79361,79432,87954,87947
3.34202e+06,3.34202e+06,859219,859223,7.63122e+06,954596,1.46506e+06,183116,76137,76212,79542,79613,88011,87995
3.34215e+06,3.34215e+06,860144,860142,7.6434e+06,956408,1.46054e+06,183142,75995,76073,79367,79442,87973,87957
